ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
rd_21.10782911_-17.51911714,21.10782911,-17.51911714,0.972766,0,
rd_192.4126949_28.45757714,192.4126949,28.45757714,0.971182,1,B
rd_77.06911689_-39.33704268,77.06911689,-39.33704268,0.971082,0,
rd_68.51426372_-51.14966874,68.51426372,-51.14966874,0.969301,0,
rd_132.6186698_31.55784057,132.6186698,31.55784057,0.969152,0,
rd_119.5832253_66.76634078,119.5832253,66.76634078,0.967658,0,
rd_128.0196816_29.27075845,128.0196816,29.27075845,0.96734,0,
rd_42.11718037_-30.73824276,42.11718037,-30.73824276,0.967034,0,
rd_38.96365514_-4.98468356,38.96365514,-4.98468356,0.965978,0,
rd_213.0148673_31.73822407,213.0148673,31.73822407,0.965963,0,
rd_249.1127428_-1.62914281,249.1127428,-1.62914281,0.965844,0,
rd_16.55611842_29.17804725,16.55611842,29.17804725,0.964286,0,
rd_273.2245968_34.80491916,273.2245968,34.80491916,0.963803,0,
rd_90.1498824_-25.19771066,90.1498824,-25.19771066,0.963261,0,
rd_268.9696587_18.82131331,268.9696587,18.82131331,0.963162,0,
rd_65.49087462_-62.27134725,65.49087462,-62.27134725,0.963048,0,
rd_133.7411503_27.8860977,133.7411503,27.8860977,0.962916,0,
rd_179.0452636_24.54524446,179.0452636,24.54524446,0.962637,0,
rd_76.66557358_-48.19758524,76.66557358,-48.19758524,0.962389,0,
rd_18.40723988_-0.08975947,18.40723988,-0.08975947,0.96233,1,A
rd_9.97523823_4.41849087,9.97523823,4.41849087,0.962268,0,
rd_317.2323671_-3.20523962,317.2323671,-3.20523962,0.961457,0,
rd_311.0632065_2.9039203,311.0632065,2.9039203,0.961098,1,sdB
rd_130.7001219_70.83592186,130.7001219,70.83592186,0.960865,0,
rd_326.2972911_-54.8060361,326.2972911,-54.8060361,0.960422,0,
rd_40.89211005_-31.06726893,40.89211005,-31.06726893,0.96028,0,
rd_242.5015728_28.76920013,242.5015728,28.76920013,0.960258,0,
rd_94.63858879_-48.53133081,94.63858879,-48.53133081,0.960172,0,
rd_285.4227321_47.5097598,285.4227321,47.5097598,0.960157,0,
rd_81.53475361_-59.49046803,81.53475361,-59.49046803,0.960138,0,
rd_212.3683548_16.23761981,212.3683548,16.23761981,0.959968,0,
rd_207.1527533_24.52995644,207.1527533,24.52995644,0.959956,0,
rd_97.19154834_-61.24290191,97.19154834,-61.24290191,0.959862,0,
rd_31.17708129_-54.80707039,31.17708129,-54.80707039,0.959733,0,
rd_39.77051405_0.49244161,39.77051405,0.49244161,0.959684,0,
rd_1.35687397_-55.02569865,1.35687397,-55.02569865,0.959331,0,
rd_36.62067364_-56.74776275,36.62067364,-56.74776275,0.959234,0,
rd_48.86009524_-46.00184852,48.86009524,-46.00184852,0.95919,0,
rd_143.0603351_-15.74703204,143.0603351,-15.74703204,0.959189,0,
rd_252.013016_16.14011792,252.013016,16.14011792,0.958595,0,
rd_96.2898906_50.22511224,96.2898906,50.22511224,0.958196,0,
rd_169.4275268_13.80520547,169.4275268,13.80520547,0.958192,0,
rd_345.6077988_-42.99812767,345.6077988,-42.99812767,0.958037,0,
rd_329.6684059_-45.4210996,329.6684059,-45.4210996,0.957916,0,
rd_46.52731951_2.25747606,46.52731951,2.25747606,0.957878,0,
rd_155.0306214_-8.40799835,155.0306214,-8.40799835,0.957856,0,
rd_30.0297369_-2.09565992,30.0297369,-2.09565992,0.957572,0,
rd_140.2089857_20.14036425,140.2089857,20.14036425,0.957571,0,
rd_76.45455976_-50.65095459,76.45455976,-50.65095459,0.957446,0,
rd_268.1214963_19.32946838,268.1214963,19.32946838,0.957379,0,
rd_47.90763371_-27.67505561,47.90763371,-27.67505561,0.957125,0,
rd_10.53017668_31.05821694,10.53017668,31.05821694,0.956848,1,A
rd_82.34220911_-58.54402714,82.34220911,-58.54402714,0.95682,0,
rd_137.6508239_-8.43954471,137.6508239,-8.43954471,0.9568,1,A
rd_163.6795998_78.51833348,163.6795998,78.51833348,0.95679,0,
rd_116.7956119_73.28666605,116.7956119,73.28666605,0.956756,0,
rd_301.9400593_-49.71263626,301.9400593,-49.71263626,0.956589,0,
rd_268.3949459_54.51419192,268.3949459,54.51419192,0.956421,0,
rd_72.39190634_-58.87861394,72.39190634,-58.87861394,0.95638,0,
rd_72.75451421_-60.3561339,72.75451421,-60.3561339,0.956313,0,
rd_334.4079036_1.79948003,334.4079036,1.79948003,0.956311,0,
rd_318.5484538_-3.3244954,318.5484538,-3.3244954,0.956288,0,
rd_161.5018598_-27.07361677,161.5018598,-27.07361677,0.956282,0,
rd_76.21161895_-62.43174622,76.21161895,-62.43174622,0.955887,0,
rd_245.1218106_-1.09884725,245.1218106,-1.09884725,0.955772,0,
rd_242.8025855_2.43617487,242.8025855,2.43617487,0.95566,0,
rd_260.1425097_8.59693748,260.1425097,8.59693748,0.955608,0,
rd_263.4703808_23.79926131,263.4703808,23.79926131,0.955599,1,A
rd_277.8723166_51.17745965,277.8723166,51.17745965,0.955525,0,
rd_306.4764902_-47.1796503,306.4764902,-47.1796503,0.955251,0,
rd_166.9820625_-29.48580997,166.9820625,-29.48580997,0.955235,0,
rd_243.7913528_3.14957497,243.7913528,3.14957497,0.955196,0,
rd_310.7756458_-50.73495166,310.7756458,-50.73495166,0.955041,0,
rd_130.6154975_11.72434357,130.6154975,11.72434357,0.954998,0,
rd_254.5201705_81.79232068,254.5201705,81.79232068,0.954801,0,
rd_114.8702801_23.28071257,114.8702801,23.28071257,0.954753,0,
rd_83.19802706_-47.9811646,83.19802706,-47.9811646,0.954709,0,
rd_76.6636353_-63.26157166,76.6636353,-63.26157166,0.954577,0,
rd_176.5088743_11.35098027,176.5088743,11.35098027,0.95451,0,
rd_209.7111726_11.18907465,209.7111726,11.18907465,0.954357,0,
rd_237.4833917_5.73700375,237.4833917,5.73700375,0.954322,1,A
rd_136.4356154_16.71801258,136.4356154,16.71801258,0.954314,0,
rd_257.9179526_6.57458763,257.9179526,6.57458763,0.954298,0,
rd_37.8256408_0.69469364,37.8256408,0.69469364,0.954288,0,
rd_145.6683805_-8.85775522,145.6683805,-8.85775522,0.954236,0,
rd_49.04598466_-64.1757158,49.04598466,-64.1757158,0.954199,0,
rd_72.08667687_-49.0912613,72.08667687,-49.0912613,0.95402,0,
rd_309.2756079_-62.82554764,309.2756079,-62.82554764,0.954013,0,
rd_27.29731379_3.2132247,27.29731379,3.2132247,0.953919,0,
rd_78.8517201_-47.28616311,78.8517201,-47.28616311,0.95389,0,
rd_50.54194048_-26.42330754,50.54194048,-26.42330754,0.953835,0,
rd_256.2908269_44.55852965,256.2908269,44.55852965,0.953703,0,
rd_247.013942_23.52585722,247.013942,23.52585722,0.953695,0,
rd_252.7607727_9.12462789,252.7607727,9.12462789,0.953673,0,
rd_84.51901904_-61.64031396,84.51901904,-61.64031396,0.953577,0,
rd_255.645662_7.38626657,255.645662,7.38626657,0.953541,0,
rd_34.38016762_-64.88672239,34.38016762,-64.88672239,0.953501,0,
rd_192.5084627_-5.08244225,192.5084627,-5.08244225,0.953176,0,
rd_338.9509621_-62.14687594,338.9509621,-62.14687594,0.953104,0,
rd_224.9986213_0.42204493,224.9986213,0.42204493,0.953065,0,
rd_242.0461677_20.66086822,242.0461677,20.66086822,0.953028,0,
rd_61.41788609_-9.45023513,61.41788609,-9.45023513,0.952956,1,A
rd_80.07094493_-60.2719847,80.07094493,-60.2719847,0.952937,0,
rd_39.27609907_-49.26617557,39.27609907,-49.26617557,0.952886,0,
rd_169.0824187_16.62106006,169.0824187,16.62106006,0.95287,0,
rd_131.7394133_44.45609607,131.7394133,44.45609607,0.9528,0,
rd_173.9394507_23.59121243,173.9394507,23.59121243,0.95274,0,
rd_301.2436647_-51.45433421,301.2436647,-51.45433421,0.952614,0,
rd_28.31913822_-59.23108181,28.31913822,-59.23108181,0.9526,0,
rd_2.67098608_-45.56590495,2.67098608,-45.56590495,0.952511,0,
rd_330.7265122_29.60875713,330.7265122,29.60875713,0.952503,0,
rd_256.3475818_4.0829319,256.3475818,4.0829319,0.952404,1,sdB
rd_174.4119833_22.67985201,174.4119833,22.67985201,0.952347,0,
rd_324.0788521_-0.52328213,324.0788521,-0.52328213,0.952263,0,
rd_247.9650155_21.41905492,247.9650155,21.41905492,0.952238,0,
rd_85.74877459_-61.15459733,85.74877459,-61.15459733,0.952219,0,
rd_260.8450122_16.51111545,260.8450122,16.51111545,0.952185,1,sdB
rd_155.4747267_-24.88200851,155.4747267,-24.88200851,0.952131,0,
rd_75.05328975_-46.14882644,75.05328975,-46.14882644,0.952122,0,
rd_18.97223671_-5.06349623,18.97223671,-5.06349623,0.952073,0,
rd_10.4419886_25.94634785,10.4419886,25.94634785,0.952063,0,
rd_83.12998558_-34.29549234,83.12998558,-34.29549234,0.952044,0,
