ID,RA,DEC,CONFIDENCE,FLG_SPEC,CLASS
radec_250.7688322_8.147007,250.7688322,8.147007,0.977916,1,2
radec_192.4126949_28.457577,192.4126949,28.457577,0.971182,1,2
radec_132.6186698_31.557841,132.6186698,31.557841,0.969152,0,3
radec_354.2970552_-2.243514,354.2970552,-2.243514,0.967377,0,3
radec_143.4894465_-5.339996,143.4894465,-5.339996,0.967365,0,3
radec_1.54958487_-50.274297,1.54958487,-50.274297,0.967123,0,3
radec_42.11718037_-30.738243,42.11718037,-30.738243,0.967026,0,3
radec_42.203795_-28.077308,42.203795,-28.077308,0.966426,0,3
radec_38.96365514_-4.984684,38.96365514,-4.984684,0.96596,0,3
radec_319.382476_-49.581871,319.382476,-49.581871,0.96528,0,3
radec_335.3056489_21.288016,335.3056489,21.288016,0.963905,0,3
radec_273.2245968_34.804919,273.2245968,34.804919,0.963803,0,3
radec_132.3276073_26.853242,132.3276073,26.853242,0.963517,0,3
radec_85.56692056_-35.758057,85.56692056,-35.758057,0.962532,0,3
radec_18.40723988_-0.089759,18.40723988,-0.089759,0.962279,1,2
radec_12.36101924_-35.833506,12.36101924,-35.833506,0.961219,0,3
radec_311.0632065_2.90392,311.0632065,2.90392,0.961098,1,2
radec_40.89211005_-31.067269,40.89211005,-31.067269,0.960309,0,3
radec_242.5015728_28.7692,242.5015728,28.7692,0.960258,0,3
radec_285.4227321_47.50976,285.4227321,47.50976,0.960157,0,3
radec_329.7813389_-43.408589,329.7813389,-43.408589,0.960029,0,3
radec_207.1527533_24.529956,207.1527533,24.529956,0.959956,0,3
radec_342.9910385_-58.685521,342.9910385,-58.685521,0.959918,0,3
radec_331.1269409_19.076419,331.1269409,19.076419,0.959854,0,3
radec_31.17708129_-54.80707,31.17708129,-54.80707,0.959722,0,3
radec_326.2973481_-54.806057,326.2973481,-54.806057,0.959407,0,3
radec_301.9647165_-56.308493,301.9647165,-56.308493,0.959303,0,3
radec_1.35687397_-55.025699,1.35687397,-55.025699,0.959105,0,3
radec_179.3914658_28.46533,179.3914658,28.46533,0.959078,1,2
radec_245.9410901_13.800825,245.9410901,13.800825,0.959012,0,3
radec_167.2946439_-0.283338,167.2946439,-0.283338,0.958786,0,3
radec_252.3460609_30.451184,252.3460609,30.451184,0.958681,0,3
radec_320.9726242_-44.435616,320.9726242,-44.435616,0.958635,0,3
radec_307.092881_-50.905859,307.092881,-50.905859,0.958291,0,3
radec_322.9325179_-45.51257,322.9325179,-45.51257,0.958134,0,3
radec_329.6684059_-45.4211,329.6684059,-45.4211,0.957919,0,3
radec_30.0297369_-2.09566,30.0297369,-2.09566,0.957524,0,3
radec_76.45455976_-50.650955,76.45455976,-50.650955,0.957357,0,3
radec_47.90763371_-27.675056,47.90763371,-27.675056,0.95714,0,3
radec_69.07799611_-10.839018,69.07799611,-10.839018,0.956913,0,3
radec_137.6508239_-8.439545,137.6508239,-8.439545,0.956818,1,2
radec_162.9553395_30.632855,162.9553395,30.632855,0.956493,0,3
radec_266.6447226_20.464237,266.6447226,20.464237,0.956453,1,2
radec_316.4762097_14.674347,316.4762097,14.674347,0.956326,0,3
radec_2.33969189_-64.472059,2.33969189,-64.472059,0.95612,0,3
radec_21.15562415_-47.784773,21.15562415,-47.784773,0.95609,0,3
radec_13.13674677_-26.709194,13.13674677,-26.709194,0.955975,0,3
radec_5.91231452_-2.787893,5.91231452,-2.787893,0.955854,0,3
radec_33.43743703_-37.12931,33.43743703,-37.12931,0.955774,0,3
radec_245.496585_16.226794,245.496585,16.226794,0.955692,0,3
radec_263.4703808_23.799261,263.4703808,23.799261,0.955599,1,2
radec_306.4764902_-47.17965,306.4764902,-47.17965,0.955243,0,3
radec_310.7756458_-50.734952,310.7756458,-50.734952,0.955051,0,3
radec_114.8702801_23.280713,114.8702801,23.280713,0.954753,0,3
radec_176.5088743_11.35098,176.5088743,11.35098,0.95451,0,3
radec_306.4278106_-41.84577,306.4278106,-41.84577,0.954485,0,3
radec_237.4833917_5.737004,237.4833917,5.737004,0.954322,1,2
radec_257.9179526_6.574588,257.9179526,6.574588,0.954298,0,3
radec_72.08667687_-49.091261,72.08667687,-49.091261,0.954048,0,3
radec_249.4571498_14.23179,249.4571498,14.23179,0.953778,0,3
radec_357.6826135_28.060417,357.6826135,28.060417,0.953662,1,2
radec_319.1783625_-13.109993,319.1783625,-13.109993,0.953471,0,3
radec_42.60083884_-9.990292,42.60083884,-9.990292,0.953224,0,3
radec_192.5084627_-5.082442,192.5084627,-5.082442,0.953178,0,3
radec_338.9509621_-62.146876,338.9509621,-62.146876,0.953158,0,3
radec_206.7160546_0.166602,206.7160546,0.166602,0.95315,1,2
radec_61.41788609_-9.450235,61.41788609,-9.450235,0.95305,1,2
radec_39.27609907_-49.266176,39.27609907,-49.266176,0.952901,0,3
radec_126.4576617_-5.596458,126.4576617,-5.596458,0.952666,0,3
radec_79.31143407_-61.972,79.31143407,-61.972,0.952516,0,3
radec_2.67098608_-45.565905,2.67098608,-45.565905,0.952509,0,3
radec_8.89218976_-50.766508,8.89218976,-50.766508,0.95234,0,3
radec_246.6632143_16.18392,246.6632143,16.18392,0.952298,0,3
radec_327.6270802_-59.669018,327.6270802,-59.669018,0.952192,0,3
radec_250.0894807_6.060984,250.0894807,6.060984,0.952107,0,3
radec_18.97223671_-5.063496,18.97223671,-5.063496,0.952083,0,3
radec_213.4039745_-1.408337,213.4039745,-1.408337,0.952021,1,2
radec_320.1120281_-64.06449,320.1120281,-64.06449,0.951982,0,3
radec_331.9074038_28.56909,331.9074038,28.56909,0.951932,0,3
radec_179.7970665_3.697662,179.7970665,3.697662,0.951476,0,3
radec_269.2170331_26.661783,269.2170331,26.661783,0.951476,0,3
radec_13.04794748_-26.624128,13.04794748,-26.624128,0.951474,0,3
radec_88.39629674_-24.804436,88.39629674,-24.804436,0.951377,0,3
radec_317.3645442_-44.010186,317.3645442,-44.010186,0.951351,0,3
radec_2.55938855_32.601057,2.55938855,32.601057,0.951328,0,3
radec_257.3626459_6.923847,257.3626459,6.923847,0.951301,1,2
radec_117.0115528_14.341865,117.0115528,14.341865,0.950869,0,3
radec_269.3918218_21.049073,269.3918218,21.049073,0.950807,0,3
radec_272.3066353_31.134843,272.3066353,31.134843,0.950737,0,3
radec_45.68334437_-17.872818,45.68334437,-17.872818,0.950632,0,3
radec_162.9246408_21.71401,162.9246408,21.71401,0.950543,0,3
radec_330.070665_-54.127709,330.070665,-54.127709,0.95049,0,3
radec_80.04060859_-30.491374,80.04060859,-30.491374,0.950326,0,3
radec_13.72194717_7.18214,13.72194717,7.18214,0.949993,0,3
radec_13.11320134_-26.720184,13.11320134,-26.720184,0.949932,0,3
radec_139.6983381_9.519942,139.6983381,9.519942,0.949925,0,3
radec_205.0346585_19.504912,205.0346585,19.504912,0.949898,0,3
radec_222.2140925_18.33602,222.2140925,18.33602,0.949864,0,3
radec_29.50757537_-5.281073,29.50757537,-5.281073,0.949818,0,3
radec_67.17542325_-42.686095,67.17542325,-42.686095,0.9498,0,3
radec_25.00914519_-15.464954,25.00914519,-15.464954,0.949759,0,3
radec_317.5989827_-54.669443,317.5989827,-54.669443,0.949746,0,3
radec_198.9728311_-3.506783,198.9728311,-3.506783,0.949744,1,2
radec_338.8454184_-49.730875,338.8454184,-49.730875,0.949659,0,3
radec_315.7965474_-6.851177,315.7965474,-6.851177,0.949652,0,3
radec_310.4149866_0.987679,310.4149866,0.987679,0.949639,0,3
radec_12.87998946_-44.686604,12.87998946,-44.686604,0.949534,0,3
radec_254.6003967_35.507574,254.6003967,35.507574,0.949437,0,3
radec_349.4178799_-45.72466,349.4178799,-45.72466,0.949437,0,3
radec_123.3607909_59.459323,123.3607909,59.459323,0.949361,1,2
radec_44.15479966_-50.590575,44.15479966,-50.590575,0.949343,0,3
radec_172.9541016_28.432725,172.9541016,28.432725,0.949108,0,3
radec_136.6283645_24.199904,136.6283645,24.199904,0.948989,0,3
radec_253.4396961_2.099364,253.4396961,2.099364,0.948958,0,3
